idDrink,Name,Category,Alcoholic,Glass,Instructions,Thumbnail,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure1 (ml),Measure2 (ml),Measure3 (ml),Measure4 (ml),Measure5 (ml),Measure6 (ml)
12756,Autodafé,Ordinary Drink,Alcoholic,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,Vodka,Lime juice,Soda water,,,,4 *10 ml ,1 dash ,0,0,0,0,40,1 dash ,0,0,0,0
13162,Afternoon,Coffee / Tea,Alcoholic,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Kahlua,Baileys irish cream,Frangelico,Coffee,Cream,,1 *10 ml ,1 *10 ml ,1 1/2 ,4 *10 ml hot ,0,0,10,10,1 1/2 ,40,0,0
15182,After sex,Ordinary Drink,Alcoholic,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Vodka,Creme de Banane,Orange juice,,,,2 *10 ml ,1 *10 ml ,0,0,0,0,20,10,0,0,0,0
13332,B-53,Shot,Alcoholic,Collins Glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,Kahlua,Sambuca,Grand Marnier,,,,1/3 *44 ml ,1/3 *44 ml ,1/3 *44 ml ,0,0,0,14.6666666666667,14.6666666666667,14.6666666666667,0,0,0
15853,B-52,Shot,Alcoholic,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,Baileys irish cream,Grand Marnier,Kahlua,,,,1/3 ,1/3 ,1/4 ,0,0,0,0.333333333333333,0.333333333333333,0.25,0,0,0
17254,Bijou,Cocktail,Alcoholic,Cocktail glass,"Stir in mixing glass with ice and strain
",https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,Orange Bitters,Green Chartreuse,Gin,Sweet Vermouth,,,1 dash,1 *30 ml,1 *30 ml,1 *30 ml,0,0,1 dash,30,30,30,0,0
11149,Boxcar,Ordinary Drink,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,1 1/2 *30 ml ,1 *30 ml ,1 tsp ,1/2 tsp ,1,0,165,30,1 tsp ,1/2 tsp ,1,0
13222,Big Red,Shot,Alcoholic,Shot glass,Pour ingredients into 1 ounce shot glass,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Irish cream,Goldschlager,,,,,1/2 *30 ml ,1/2 *30 ml ,0,0,0,0,15,15,0,0,0,0
17195,Bellini,Ordinary Drink,Alcoholic,Champagne Flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,Champagne,Peach schnapps,,,,,6 *30 ml ,1 *30 ml ,0,0,0,0,180,30,0,0,0,0
17210,Bramble,Ordinary Drink,Alcoholic,Old-Fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",https://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,Gin,lemon juice,Sugar syrup,Creme de Mure,,,4 *10 ml,1.5 *10 ml,1 *10 ml,1.5 *10 ml,0,0,40,15,10,15,0,0
11060,Balmoral,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,Scotch,Sweet Vermouth,Dry Vermouth,Bitters,,,1 1/2 *30 ml ,1/2 *30 ml ,1/2 *30 ml ,2 dashes ,0,0,165,15,15,2 dashes ,0,0
11120,Bluebird,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,1 1/2 *30 ml ,1/2 *30 ml ,1/2 *30 ml ,2 dashes ,1,1 twist of ,165,15,15,2 dashes ,1,1 twist of 
178310,Brooklyn,Cocktail,Alcoholic,Cocktail glass,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg,Rye Whiskey,Dry Vermouth,Maraschino Liqueur,Angostura Bitters,Maraschino Cherry,,2 *30 ml,1 *30 ml,1/4 *30 ml,3 dashes,1,0,60,30,7.5,3 dashes,1,0
11124,Boomerang,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,2 *30 ml ,1/2 *30 ml ,2 dashes ,1/2 tsp ,1,0,60,15,2 dashes ,1/2 tsp ,1,0
17209,Barracuda,Ordinary Drink,Alcoholic,Margarita glass,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,Rum,Galliano,Pineapple Juice,Lime Juice,Prosecco,,4.5 *10 ml,1.5 *10 ml,6 *10 ml, 1 dash,top up ,0,45,15,60, 1 dash,top up ,0
17035,Buccaneer,Beer,Alcoholic,Beer pilsner,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,https://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,Corona,Bacardi Limon,,,,,1,1 *44 ml ,0,0,0,0,1,44,0,0,0,0
17825,Brigadier,Cocktail,Alcoholic,Coupe Glass,Mix ingredients in a warmed mug and stir.,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg,Hot Chocolate,Green Chartreuse,Cherry Heering,,,,4 *30 ml,1 *30 ml,1 *30 ml,0,0,0,120,30,30,0,0,0
178311,Broadside,Cocktail,Alcoholic,Highball glass,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg,151 proof rum,Scotch,Bitters,Wormwood,Ice,,1 *44 ml,1/2 *44 ml,3 drops,1 Fresh,cubes,0,44,22,3 drops,1 Fresh,cubes,0
11106,Blackthorn,Ordinary Drink,Alcoholic,Cocktail glass,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/xvswvy1441209430.jpg,Sweet Vermouth,Sloe gin,Lemon peel,,,,1 *30 ml ,1 1/2 *30 ml ,1 twist of ,0,0,0,30,165,1 twist of ,0,0,0
13395,Bob Marley,Shot,Alcoholic,Shot glass,Layer in a 2 oz shot glass or pony glass,https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,Midori melon liqueur,Jägermeister,Goldschlager,,,,1/2 *30 ml ,1/2 *30 ml ,1/2 *30 ml ,0,0,0,15,15,15,0,0,0
14730,Bubble Gum,Shot,Alcoholic,Shot glass,Layer in order into a shot glass.,https://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,Vodka,Banana liqueur,Orange juice,Peach schnapps,,,1/4 ,1/4 ,1/4 ,1/4 ,0,0,0.25,0.25,0.25,0.25,0,0
16986,Bible Belt,Other/Unknown,Alcoholic,Highball glass,"Mix all ingredients, and pour over ice.",https://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,Southern Comfort,Triple sec,Lime,Sour mix,,,2 *30 ml ,1/2 *30 ml ,2 wedges ,2 *30 ml ,0,0,60,15,2 wedges ,60,0,0
17120,Brain Fart,Punch / Party Drink,Alcoholic,Punch bowl,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,https://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,Everclear,Vodka,Mountain Dew,Surge,Lemon juice,Rum,1 fifth ,1 fifth Smirnoff red label ,2 L ,2 L ,1 small bottle ,1 pint ,1 fifth ,1 fifth Smirnoff red label ,2 L ,2 L ,1 small bottle ,1 pint 
11113,Bloody Mary,Ordinary Drink,Alcoholic,Old-fashioned glass,"Stirring gently, pour all ingredients into highball glass. Garnish.",https://www.thecocktaildb.com/images/media/drink/t6caa21582485702.jpg,Vodka,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,1 1/2 *30 ml ,3 *30 ml ,1 dash ,1/2 tsp ,2-3 drops ,1 wedge ,165,90,1 dash ,1/2 tsp ,2-3 drops ,1 wedge 
11117,Blue Lagoon,Ordinary Drink,Alcoholic,Highball glass,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/5wm4zo1582579154.jpg,Vodka,Blue Curacao,Lemonade,Cherry,,,1 *30 ml ,1 *30 ml ,0,0,0,0,30,30,0,0,0,0
11129,Boston Sour,Ordinary Drink,Alcoholic,Whiskey sour glass,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,Blended whiskey,Lemon,Powdered sugar,Egg white,Lemon,Cherry,2 *30 ml ,Juice of 1/2 ,1 tsp ,1,1 slice ,1,60,Juice of 1/2 ,1 tsp ,1,1 slice ,1
11164,Brandy Flip,Ordinary Drink,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg.",https://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg,Brandy,Egg,Sugar,Light cream,Nutmeg,,2 *30 ml ,1 whole ,1 tsp superfine ,1/2 *30 ml ,1/8 tsp grated ,0,60,1 whole ,1 tsp superfine ,15,1/8 tsp grated ,0
17185,Casino,Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,https://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,Gin,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,2 *30 ml ,1/4 tsp ,1/4 tsp ,2 dashes ,1,0,60,1/4 tsp ,1/4 tsp ,2 dashes ,1,0
11202,Caipirinha,Ordinary Drink,Alcoholic,Old-fashioned glass,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg,Sugar,Lime,Cachaca,,,,2 tsp,1,2 1/2 *30 ml ,0,0,0,2 tsp,1,315,0,0,0
11239,Cherry Rum,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,Light rum,Cherry brandy,Light cream,,,,1 1/4 *30 ml ,1 1/2 tsp ,1 *15 ml ,0,0,0,82.5,1 1/2 tsp ,15,0,0,0
11288,Cuba Libre,Ordinary Drink,Alcoholic,Highball glass,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,https://www.thecocktaildb.com/images/media/drink/uuxsrr1473201663.jpg,Light rum,Lime,Coca-Cola,,,,2 *30 ml ,Juice of 1/2 ,0,0,0,0,60,Juice of 1/2 ,0,0,0,0
13751,Cuba Libra,Ordinary Drink,Alcoholic,Highball glass,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,https://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,Dark rum,Lime,Coca-Cola,Ice,,,1-2 *44 ml ,Squeeze ,Fill with ,0,0,0,Squeeze ,Fill with ,0,0,0,0
14181,Cafe Savoy,Coffee / Tea,Alcoholic,Coffee mug,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",https://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Coffee,Milk,Triple sec,Brandy,,,0,1/2 *30 ml ,1/2 *30 ml ,0,0,0,0,15,15,0,0,0
14608,Cream Soda,Cocktail,Alcoholic,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,Spiced rum,Ginger ale,,,,,1 *30 ml ,0,0,0,0,0,30,0,0,0,0,0
17830,Corn n Oil,Cocktail,Alcoholic,Old-fashioned glass,"Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.",https://www.thecocktaildb.com/images/media/drink/pk6dwi1592767243.jpg,Lime,Falernum,Angostura Bitters,Añejo rum,blackstrap rum,,1/2,1/3 *30 ml,2 dashes,1 *30 ml,1 *30 ml,0,0.5,10,2 dashes,30,30,0
11222,Casa Blanca,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/usspxq1441553762.jpg,Light rum,Triple sec,Lime juice,Maraschino liqueur,,,2 *30 ml ,1 1/2 tsp ,1 1/2 tsp ,1 1/2 tsp ,0,0,60,1 1/2 tsp ,1 1/2 tsp ,1 1/2 tsp ,0,0
17186,Clover Club,Ordinary Drink,Alcoholic,Cocktail glass,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",https://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,Gin,Grenadine,Lemon,Egg white,,,1 1/2 *30 ml ,2 tsp ,Juice of 1/2 ,1,0,0,165,2 tsp ,Juice of 1/2 ,1,0,0
17135,Citrus Coke,Soft Drink / Soda,Alcoholic,Highball Glass,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,https://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,Bacardi Limon,Coca-Cola,,,,,1,2,0,0,0,0,1,2,0,0,0,0
11242,Chicago Fizz,Ordinary Drink,Alcoholic,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,Light rum,Port,Lemon,Powdered sugar,Egg white,Carbonated water,1 *30 ml ,1 *30 ml ,Juice of 1/2 ,1 tsp ,1,0,30,30,Juice of 1/2 ,1 tsp ,1,0
11251,City Slicker,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,Brandy,Triple sec,Lemon juice,,,,2 *30 ml ,1/2 *30 ml ,1 *15 ml ,0,0,0,60,15,15,0,0,0
12800,Coffee-Vodka,Homemade Liqueur,Alcoholic,Collins Glass,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",https://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,Water,Sugar,Coffee,Vanilla,Vodka,Caramel coloring,2 cups ,2 cups white ,1/2 cup instant ,1/2,1 1/2 cup,0,2 cups ,2 cups white ,1/2 cup instant ,0.5,1 1/2 cup,0
13206,Caipirissima,Ordinary Drink,Alcoholic,Collins Glass,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,https://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,Lime,Sugar,White rum,Ice,,,2,2 *15 ml ,2-3 *30 ml ,crushed ,0,0,2,30,crushed ,0,0,0
16047,Campari Beer,Beer,Alcoholic,Beer mug,Use a 15 oz glass. Add Campari first. Fill with beer.,https://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,Lager,Campari,,,,,1 bottle ,1 1/2 *10 ml ,0,0,0,0,1 bottle ,55,0,0,0,0
17196,Cosmopolitan,Cocktail,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,Absolut Citron,Lime juice,Cointreau,Cranberry juice,,,1 1/4 *30 ml ,1/4 *30 ml ,1/4 *30 ml ,1/4 cup ,0,0,82.5,7.5,7.5,1/4 cup ,0,0
11224,Casino Royale,Ordinary Drink,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",https://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,Gin,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,2 *30 ml ,1/2 *30 ml ,1 tsp ,1 dash ,1,0,60,15,1 tsp ,1 dash ,1,0
11255,Clove Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,Sweet Vermouth,Sloe gin,Wine,,,,1 *30 ml ,1/2 *30 ml ,1/2 *30 ml Muscatel ,0,0,0,30,15,15,0,0,0
12798,Coffee Liqueur,Homemade Liqueur,Alcoholic,Collins Glass,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",https://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,Coffee,Vanilla extract,Sugar,Vodka,Water,,10 *15 ml instant ,4 tblsp ,2 1/2 cups ,1 qt ,2 1/2 cups ,0,150,4 tblsp ,2 1/2 cups ,1 qt ,2 1/2 cups ,0
13328,Chocolate Milk,Shot,Alcoholic,Shot Glass,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",https://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,Chocolate liqueur,Milk,Amaretto,,,,1/2 *44 ml ,1/2 *44 ml ,1 dash ,0,0,0,22,22,1 dash ,0,0,0
12808,Creme de Menthe,Homemade Liqueur,Alcoholic,Collins Glass,Bring sugar and water to a boil and simmer for 10 minutes. Cool. Add the remaining ingredients and stir. Cover and let ripen for 1 month.,https://www.thecocktaildb.com/images/media/drink/yxswtp1441253918.jpg,Sugar,Water,Grain alcohol,Peppermint extract,Food coloring,,8 cups ,6 cups ,1 pint ,1 *30 ml pure ,1 tblsp green ,0,8 cups ,6 cups ,1 pint ,30,1 tblsp green ,0
