idDrink,Name,Category,Alcoholic,Glass,Instructions,Thumbnail,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure1 (ml),Measure2 (ml),Measure3 (ml),Measure4 (ml),Measure5 (ml),Measure6 (ml),Measure1 (percent),Measure2 (percent),Measure3 (percent),Measure4 (percent),Measure5 (percent),Measure6 (percent)
17222,A1,Cocktail,Alcoholic,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Gin,Grand Marnier,Lemon Juice,Grenadine,,,1 3/4 *44 ml ,1 *44 ml,1/4 *44 ml,1/8 *44 ml,0,0,143,44,11,5.5,0,0,70,21,5,2,0,0
13501,ABC,Shot,Alcoholic,Shot glass,Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Amaretto,Baileys Irish Cream,Cognac,,,,1/3 ,1/3 ,1/3 ,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,33,33,33,0,0,0
17837,Adam,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,Dark rum,Lemon Juice,Grenadine,,,,2 *30 ml ,1 *30 ml ,1 *5 ml ,0,0,0,60,30,5,0,0,0,63,31,5,0,0,0
14610,ACID,Shot,Alcoholic,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,151 Rum,Wild Turkey,,,,,1 *30 ml Bacardi ,1 *30 ml ,0,0,0,0,30,30,0,0,0,0,50,50,0,0,0,0
17833,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,Applejack,Grapefruit Juice,,,,,1 1/2 *30 ml ,1 *30 ml ,0,0,0,0,165,30,0,0,0,0,84,15,0,0,0,0
17835,Abilene,Ordinary Drink,Alcoholic,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,Dark Rum,Peach Nectar,Orange Juice,,,,1 1/2 *30 ml ,2 *30 ml ,3 *30 ml ,0,0,0,165,60,90,0,0,0,52,19,28,0,0,0
17228,Addison,Cocktail,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Gin,Vermouth,,,,,1 1/2 *44 ml ,1 1/2 *44 ml ,0,0,0,0,242,242,0,0,0,0,50,50,0,0,0,0
11046,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Applejack,Triple Sec,Lemon Juice,,,,1 *30 ml ,1 *30 ml ,1 *30 ml ,0,0,0,30,30,30,0,0,0,33,33,33,0,0,0
11020,Algonquin,Ordinary Drink,Alcoholic,Cocktail glass,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Whiskey,Dry Vermouth,Pineapple Juice ,,,,1 1/2 *30 ml ,1 *30 ml ,1 *30 ml ,0,0,0,165,30,30,0,0,0,73,13,13,0,0,0
13332,B-53,Shot,Alcoholic,Collins Glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,Kahlua,Sambuca,Grand Marnier,,,,1/3 *44 ml ,1/3 *44 ml ,1/3 *44 ml ,0,0,0,14.6666666666667,14.6666666666667,14.6666666666667,0,0,0,33,33,33,0,0,0
15853,B-52,Shot,Alcoholic,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,Baileys Irish Cream ,Grand Marnier,Kahlua,,,,1/3 ,1/3 ,1/4 ,0,0,0,0.333333333333333,0.333333333333333,0.25,0,0,0,36,36,27,0,0,0
13222,Big Red,Shot,Alcoholic,Shot glass,Pour ingredients into 1 ounce shot glass,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Baileys Irish Cream,Goldschlager,,,,,1/2 *30 ml ,1/2 *30 ml ,0,0,0,0,15,15,0,0,0,0,50,50,0,0,0,0
13395,Bob Marley,Shot,Alcoholic,Shot glass,Layer in a 2 oz shot glass or pony glass,https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,Midori melon liqueur,Jägermeister,Goldschlager,,,,1/2 *30 ml ,1/2 *30 ml ,1/2 *30 ml ,0,0,0,15,15,15,0,0,0,33,33,33,0,0,0
11251,City Slicker,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,Brandy,Triple Sec,Lemon juice,,,,2 *30 ml ,1/2 *30 ml ,1 *15 ml ,0,0,0,60,15,15,0,0,0,66,16,16,0,0,0
11005,Dry Martini,Cocktail,Alcoholic,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg,Gin,Dry Vermouth,Olive,,,,1 2/3 *30 ml ,1/3 *30 ml ,1,0,0,0,120,10,1,0,0,0,91,7,0,0,0,0
